CHILDID,S1_ID,S2_ID,S3_ID,S4_ID,S5_ID,S6_ID,S7_ID,KURBAN_R,GENDER,RACE,C1R4MSCL,C2R4MSCL,C3R4MSCL,C4R4MSCL,C5R4MSCL,C6R4MSCL,C7R4MSCL,W1SESL,W3SESL,W5SESL,S2PUBLIC
0015010C,0015,0015,0015,0015,7368, , ,3,1,1,38.35,57.87,45.78,88.35,130.08, , ,-.66,-.29, ,1
0015011C,0015,0015,9998,0017,0017, , ,3,1,1,32.74,49.32, ,75.21,145.25, , ,.12,.05, ,1
0015012C,0015,0015,9997,9997,9997, , ,3,1,1,21.3,27.63, , , , , ,-.84,-.74, ,1
0015013C,0015,0015,0015,4236, , , ,3,1,1,26.68,27.46,40.52,56.92, , , , , , ,1
0015014C,0015,0015,0015,0015,0015,7198,C016,3,2,1,31.2,42.17,42.37,67.33,102,145.46,162.42,.2,.67,.64,1
0015015C,0015,0015,9998,5457,5457, , ,3,2,1,26.98,42.89, ,82.47,119.82, , , ,.33, ,1
0015016C,0015,0015,0015,0015, , , ,3,1,1,15.98,21.8,24.47,33.68, , , ,-.53, , ,1
0015017C,0015,0015,0015,0015,8127,8127, ,3,1,1,12.55,13.08,18.81,23.55,48.77,73.39, ,-1.36, , ,1
0015018C,0015,0015,9997,9997,9997, , ,3,1,1,26.72,46.79, , , , , ,-.23,-.78, ,1
0015019C,0015,0015,0015,0015,0015,7198,C016,3,2,1,28.63,34.76,44.71,63.39,125.62,128.01,151.22,-.3,-.22,-.24,1
0015020C,0015,0015,0015,0015,0015,7198,C016,3,2,1,37.81,37.67,49.37,74.38,105.12,119.27,141.17,.71,.34,.63,1
0015021C,0015,0015,0015,0015,7369, , ,3,2,1,17.83,19.46,27.66,35.05,45.13, , ,-.77,-1.05, ,1
0015022C,0015,0015,0015,6335,6335, , ,3,1,1,13.38,19.73,20.86,49.24,54.85, , ,-1.02, , ,1
0015023C,0015,0015,0015,0015,0015,7198,C016,3,1,1,13.29,18.44,17.69,39.44,65.84,106.86,117.5, ,-1.12,-.96,1
0015024C,0015,4230,9998,4230,0029, , ,3,1,1,21.05,23.86, ,35.66,86.34, , , , , ,1
0015025C,0015,0015,0015,0015,0015,7198,C016,3,1,1,28.78,44.55,47.38,63.25,102.48,142.17,144.76,-.4,-.51,-.47,1
